incident nummer,Beschrijving incident,hoofd afdelingen
1197418,Zoekt bestanden van oracle op usb-stick,Overig
1209234,zoekfunctie Outlook werkt niet,Commercial department
1221014,zoekfunctie in CS niet beschikbaar dv 5119,Commercial department
1212348,zoeken naar' in Word,Production A
1205697,Zoeken in Outlook werkt niet.,Commercial department
1244024,zodra ze scherm via ctrl f1 locken blijft chipsoft in beeld  (voor 12.30),Production A
1192106,"Zoals in het verleden ook al gemeld, zijn er binnen de D1 problemen met bereikbaarheid van de dect's en de Laptops. Deze",Production QA
1231685,"Zit vast, kan niet inloggen",Marketing
1203937,Zit vast in sessie. Blijft hangen in CS,Production A
1211380,Zit vast in Outlook,Commercial department
1226473,Zit nog vast in document na abrubte TC afsluiten,Marketing
1238219,Zit in Italië en kan via wifi nu een mail niet versturen,Commercial department
1197689,zit hierin 512 mb ram geheugen?,Production A
1234716,zit alleen  maar kan niet bellen,Overig
1196865,zip bestanden openen,Facility management
1208541,Z-index: kolom toevoegen aan CIB,Marketing
1238284,Zijn onderstaande databases te bereiken via WS-public of WS-private?,Commercial department
1236469,Zijn er problemen?,Production QA
1199851,zijn er probelmen met inloggen,Commercial department
1254712,Zijn er nog performance meldingen que CS?,Marketing
1249985,Zijn er gisteren onderhoudswerkzaamheden geweest gedaan door ICT?,HR advies
1230858,Zijn de aangevraagde accounts al verwerkt?,Marketing
1237182,Zijlade Laptop wil niet open / 3 Noord,Commercial department
1195967,Zij wil graag het inkomend fax nummer weten van MF49891,Production A
1190108,Zij moet 2x pasje ervoor houden voordat zij goed ingelogd zijn.,Commercial department
1212124,Zij krijgt N:\ schijf in 1 keer. (WS_prod$ on NAS-A01) te zien. Verkenner werd automatisch opgestart.,Production QA
1237186,Zij krijgen geen opdrachten meer via het systeem.,Marketing
1213941,Ziet zijn H:\ schijf niet meer,Production A
1251496,Ziet usb-stick niet,Commercial department
1196055,Ziet USB stick niet. Mist ook haar extra mailboxen,Commercial department
1205544,Ziet USB stick niet.,Marketing
1227231,Ziet PP50024 niet in lijst,Production QA
1218877,Ziet nog steeds map op J: niet,Commercial department
1231219,"Ziet niet alle programma's, komt in vreemde desktop.",Commercial department
1214302,Ziet niet alle printers,Production QA
1197012,ziet maar 2 iconen,Overig
1197079,ziet maar 2 iconen,Commercial department
1227447,ziet Hunite niet staan,Onbekend
1247003,Ziet geen USB in sessie,Production A
1221280,Ziet geen printservers,Production A
1234098,Ziet geen printers meer in sessie,Commercial department
1238128,Ziet geen printers in sessie (heeft PDF printer),Commercial department
1224019,Ziet geen printers in sessie,Onbekend
1224035,Ziet geen printers in sessie,Commercial department
1224294,Ziet geen printers in sessie,Production A
1224486,Ziet geen printers in sessie,Commercial department
1227345,Ziet geen printers in sessie,Production A
1228651,Ziet geen printers in sessie,Marketing
1228990,Ziet geen printers in sessie,Marketing
1230264,Ziet geen printers in sessie,Overig
1232198,Ziet geen printers in sessie,Production A
1232407,Ziet geen printers in sessie,Commercial department
1232416,Ziet geen printers in sessie,Production A
1232536,Ziet geen printers in sessie,Production QA
1233579,Ziet geen printers in sessie,Production QA
1234900,Ziet geen printers in sessie,Commercial department
1235042,Ziet geen printers in sessie,Commercial department
1239092,Ziet geen printers in sessie,Production A
1244291,Ziet geen printers in sessie,Marketing
1244849,Ziet geen printers in sessie,Commercial department
1245811,Ziet geen printers in sessie,Marketing
1246299,Ziet geen printers in sessie,Commercial department
1253252,Ziet geen printers in sessie,Commercial department
1253277,Ziet geen printers in sessie,Commercial department
1253807,Ziet geen printers in sessie,Marketing
1255429,Ziet geen printers in sessie,Production A
1217195,Ziet geen printers,Marketing
1218432,Ziet geen printers,Production A
1221589,Ziet geen printers,Commercial department
1224611,Ziet geen printer in sessie,Commercial department
1245389,Ziet geen inhoud van scherm bij overname tc (nieuwe KA),HR advies
1244727,Ziet de werkbalk niet volledig in beeld,Commercial department
1250311,Ziet de muiscursor niet in Outlook,Commercial department
1194113,Zie: 01193212,Marketing
1219721,"zie bonnr 01216293, is nog niemand geweest van Leferink?",Marketing
1198292,zie bonnr 01198196,Overig
1190445,ZFGTCONNECT: patiënt wil zich afmelden,Facility management
1254904,Zetacom vraagt om tokencode,Onbekend
1194897,Zetacom vraagt om token code,Onbekend
1230187,Zetacom vraagt om token code,Onbekend
1208336,ZETACOM vraagt om safewordcode,Onbekend
1224063,ZETACOM vraagt om safewordcode,Onbekend
1238611,ZETACOM vraagt om safewordcode,Onbekend
1240024,ZETACOM vraagt om safewordcode,Onbekend
1243809,ZETACOM vraagt om safewordcode,Onbekend
1194726,zetacom vraagt om safeword code,Onbekend
1195206,zetacom vraagt om safeword code,Onbekend
1201447,zetacom vraagt om safeword code,Onbekend
1230244,zetacom vraagt om safeword code,Onbekend
1254991,Zetacom vraagt om in te loggen dmv token,Onbekend
1225602,Zetacom vraagt om code,Onbekend
1196192,zetacom vraag naar Daniel,Facility management
1192938,Zetacom token code om eclipserver,Onbekend
1243491,Zetacom IE op Mitel in op 10.30.19.24,Onbekend
1226173,zetacom dv FM,Onbekend
1194714,Zetacom CCM server vraagt om safewordcode,Onbekend
1195174,Zetacom > vraagt wat de ip adressen zijn van de Trapise Controllers,Onbekend
1193953,Zetacom,Onbekend
1224309,Zetacom,Onbekend
1215041,Zelf distributielijst aanmaken en delen,Production A
1251433,zeer trage computer. Telkens zandloper in beeld.,Production A
1226449,Zebraprinter werkt niet. Print vanuit Centrasys,Marketing
1225180,Zebraprinter werkt niet. Geeft aan bij test netwerkconfiguratie dat het geen ipadres heeft.,Marketing
1226653,Zebraprinter doet het niet goed meer,Marketing
1201659,ze willen graag de penta proef opstelling terug,Commercial department
1252000,ze willen de monitor naar beneden kunnen verplaatsen.,Production A
1230364,ZCGTCONNECT: ophanger,Facility management
1232926,zandloper,Production A
1212113,Z226 Scherm doet het niet.,Marketing
1240396,"Yvonne, svp terugbellen",Production A
1198093,"youtube filmpjes laten zien, kunnen we in overleg",Commercial department
1202029,youtube filmpjes,Commercial department
1248837,Youtube filmlijst. Wil hier een url van hebben.,Commercial department
1195096,Your viewpro does not exist,Production A
1226286,Your account is been disabled (lirohof),Commercial department
1226494,You tube filmpjes geven geen geluid,Commercial department
1201971,X-schijf ziet ze niet,Commercial department
1200142,xschijf Marketingdata,Commercial department
1208464,xlsx kan niet geopend worden op de oude KA,HR advies
1241675,xls. Kan niet scrollen,Marketing
1245378,xls in map J:\Mortuarium\Tarieflijst WS Amsterdam,Commercial department
1191325,"XENAPPH7-03 , reconnection met citrix",Commercial department
1240287,xenappH3-02 erg traag,HR advies
1203606,XenappH2-03: zeer traag met inloggen,Commercial department
1242225,"XENAPPH15-02, werkbalk bovenin IE7  verdwijnt",Production A
1190222,XENAPPH13-03,Commercial department
1224017,XENAPPH10-02 heeft geen beschikbare printers,Overig
1240010,XENAPPA8-02 geen beschikbare printers,Commercial department
1221894,xenappa6-01 geen printers beschikbaar.,Overig
1198069,XENAPPA19-02 Krijgt geen printers op deze server,Production A
1198078,XENAPPA18-02:  Geen printers,Commercial department
1205597,XENAPPA16-04 geen beschikbare printers,Production A
1205601,XENAPPA15-04 handtek kwijt,Production A
1201318,XenappA12-02: TC loopt vast zodra zij een bijlage opent,Commercial department
1218361,xenapp h6-04: geen beschikbare printers,Facility management
1198500,xenapp H2-02 - printers not available,Production A
1197948,xenapp h18-01 heeft maar 2 iconen op bureaublad,Facility management
1209004,xenapp H16-01 geen printers geinstalleerd,Production A
1228396,xenapp h16-01 geen beschikbare printers,Commercial department
1189308,xenapp H13-01 geen beschikbare printers,Production QA
1239986,xenapp a8-02 geen geinstalleerde printers,Production A
1189242,xenapp A19-04 geen printers geinstalleerd,Overig
1201152,xenapp a10-02 geen beschikbare printers,Production A
1232128,xenapa9-03 problemen met printers.,Overig
1230621,Xelleris remotedesktop verwijzing,Production A
1230311,Xeleris Remote - verwijzing moet worden gewijzigd,Marketing
1200163,X-data,Marketing
1189035,Xcelsius 2008 en Query as a Webservice software,Production QA
1196326,Xantis over de netwerk topologie,Facility management
1195863,X:\P&O\Amsterdam\Linda\Mutaties\1. Mutatielijst Linda.xls. Melding dat deze alleen lezen geopend kan worden.,Commercial department
1251770,X:\ ultimodata keurrapporten belt voor toegang van raymond rouwenhorst,Commercial department
1197600,X specials costprijs  ==> ultimodata costprijst,Facility management
1233624,X schijf niet te benaderen ondanks goede rechten op X,HR advies
1206917,www.ziekenhuisgroepNoord-Holland.nl domeinportaal niet te starten,Onbekend
1244684,www.vecozo.nl : kan pagina niet weergeven,Marketing
1197703,www.mst.nl/specialismen niet toegankelijk (operation aborted),Commercial department
1206933,www.mst.nl/specialismen niet toegankelijk (operation aborted),Commercial department
1234730,ww wzijigen,Commercial department
1221416,ww Windows,Production QA
1214671,ww wijzigien,Production QA
1223614,ww wijzigen werkt niet,Commercial department
1205582,ww wijzigen vanuit huis,Production QA
1226802,ww wijzigen staat niet op plaza,Commercial department
1253010,Ww wijzigen na reset gaat niet goed,Production QA
1200965,Ww wijzigen lukt niet,Commercial department
1235144,ww wijzigen in sessie gaat niet goed,Commercial department
1255471,Ww wijzigen in CS,Commercial department
1245466,ww wijzigen gaat niet goed,Commercial department
1199978,Ww wijzigen,Facility management
1228206,Ww wijzigen,Facility management
1228725,Ww wijzigen,Commercial department
1231502,Ww wijzigen,Commercial department
1256051,Ww wijzigen,Marketing
1255212,Ww werkt niet.,Marketing
1210353,Ww werkt niet meer,Production QA
1221711,ww voor CRM-ERP vergeten,Facility management
1213852,Ww verlopen. Tijdje weggeweest.,Production QA
1241911,Ww verlopen. Gewijzigd maar komt er niet in,Commercial department
1207611,Ww verlopen.,Commercial department
1217822,Ww verlopen.,Production A
1220981,Ww verlopen.,Production A
1240657,ww verlopen tijdens vakantie,Production A
1242456,ww verlopen na verlof,Commercial department
1252960,ww verlopen na verlof,Production QA
1225622,ww verlopen melding in groepspostbus,Production A
1225482,Ww verlopen,Production A
1252506,Ww verlopen,Commercial department
1252527,Ww verlopen,Commercial department
1237407,Ww vergetern,Production A
1244119,Ww vergeten. Vergrendeld.,Marketing
1245472,Ww vergeten. Accout nu vergrendeld.,Production A
1205327,Ww vergeten.,Commercial department
1221813,Ww vergeten.,Commercial department
1223670,Ww vergeten.,Commercial department
1225258,Ww vergeten.,Facility management
1225265,Ww vergeten.,Production A
1228253,Ww vergeten.,Production QA
1241445,Ww vergeten.,Commercial department
1247231,Ww vergeten.,Production A
1250525,Ww vergeten.,Production QA
1252843,Ww vergeten.,Production QA
1256180,Ww vergeten.,Commercial department
1237784,"ww vergeten, graag resetten",Marketing
1245685,"ww vergeten, graag reset",Commercial department
1255951,ww vergeten voor Hunit,HR advies
1203762,ww vergeten na verlof,Facility management
1244703,ww vergeten na verlof,Commercial department
1237918,ww vergeten na vakantie,Commercial department
1237979,ww vergeten na vakantie,Production A
1238743,ww vergeten na vakantie,Marketing
1247980,ww vergeten na afwezigheid,Production QA
1241312,ww vergeten ivm tijd uit dienst,Production A
1236915,ww vergeten -> reset,Production A
1241024,ww vergeten - al jaar uit dienst,Production A
1189831,ww vergeten,Production A
1191143,ww vergeten,Overig
1192484,ww vergeten,Facility management
1194482,ww vergeten,Production A
1196989,ww vergeten,Facility management
1197467,ww vergeten,Commercial department
1198608,ww vergeten,Production A
1204252,ww vergeten,Facility management
1205600,ww vergeten,Production A
1207061,ww vergeten,Commercial department
1207181,ww vergeten,Commercial department
1207516,ww vergeten,Commercial department
1208252,ww vergeten,Marketing
1209336,ww vergeten,Production A
1219663,ww vergeten,Production A
1220702,ww vergeten,Overig
1221714,ww vergeten,Production QA
1223646,ww vergeten,Commercial department
1224673,ww vergeten,Commercial department
1225656,ww vergeten,Commercial department
1226672,ww vergeten,Facility management
1227453,ww vergeten,Commercial department
1228397,ww vergeten,Facility management
1229686,ww vergeten,Marketing
1233431,ww vergeten,Production QA
1233681,ww vergeten,Commercial department
1233714,ww vergeten,Production A
1234702,ww vergeten,Marketing
1234904,ww vergeten,Production A
1235389,ww vergeten,Overig
1236217,ww vergeten,Overig
1236267,ww vergeten,Commercial department
1236383,ww vergeten,Commercial department
1236395,ww vergeten,Production A
1236838,ww vergeten,Commercial department
1237210,ww vergeten,Production QA
1237665,ww vergeten,Overig
1238651,ww vergeten,Production QA
1238695,ww vergeten,Production A
1238858,ww vergeten,Marketing
1238930,ww vergeten,Production A
1238933,ww vergeten,Production QA
1238955,ww vergeten,Commercial department
1239026,ww vergeten,Overig
1239030,ww vergeten,Overig
1239057,ww vergeten,Production A
1239062,ww vergeten,Production A
1240041,ww vergeten,Production QA
1240202,ww vergeten,Commercial department
1240279,ww vergeten,Commercial department
1240523,ww vergeten,Commercial department
1240526,ww vergeten,Production QA
1242103,ww vergeten,Commercial department
1243031,ww vergeten,Production QA
1244123,ww vergeten,Production A
1244171,ww vergeten,Commercial department
1244200,ww vergeten,Commercial department
1244208,ww vergeten,Production A
1244814,ww vergeten,Production A
1245802,ww vergeten,Production A
1246445,ww vergeten,Commercial department
1246493,ww vergeten,Production QA
1246524,ww vergeten,Commercial department
1246667,ww vergeten,Commercial department
1246916,ww vergeten,Production QA
1247039,ww vergeten,Production A
1247191,ww vergeten,Production QA
1247433,ww vergeten,Production QA
1247780,ww vergeten,Production QA
1248155,ww vergeten,Production QA
1248730,ww vergeten,Production A
1248980,ww vergeten,Production A
1249084,ww vergeten,Production QA
1249757,ww vergeten,Commercial department
1251057,ww vergeten,Marketing
1252021,ww vergeten,Commercial department
1254737,ww vergeten,Production A
1255620,ww vergeten,Commercial department
1204251,ww vergaten na verlof,Production QA
1213559,ww veranderd in Windows,Production A
1237785,WW vegeten,Commercial department
1248169,ww te vaak in gevoerd,Commercial department
1236146,ww resetten,Production A
1249273,ww reset? -> 3333,Production QA
1214414,"ww reset, kan niet changen",Production A
1244622,ww reset voor nieuwe gebruiker,Marketing
1209107,ww reset voor jhaccept,Marketing
1251658,ww reset start weer niet,Marketing
1226040,ww reset op verzoek RA,Marketing
1215721,ww reset na afwezigheid,Commercial department
1226012,ww reset na aantal maanden afwezigheid,Commercial department
1250531,ww reset gedaan,Commercial department
1237717,ww reset bij nieuwe user lukt niet,Overig
1239147,ww reset algemeen account SEH,Production A
1215348,ww reset account stbaa02,Production A
1191817,"ww reset + ""can not connect to the domain"".",Production QA
1233469,ww reset  komt er nog niet in,Commercial department
1189620,ww reset,Production A
1190320,ww reset,Facility management
1190808,ww reset,Production QA
1190983,ww reset,Facility management
1191002,ww reset,Facility management
1191054,ww reset,Production A
1191267,ww reset,Overig
1191664,ww reset,Facility management
1192135,ww reset,Commercial department
1192181,ww reset,Production QA
1192367,ww reset,Facility management
1193249,ww reset,Overig
1193352,ww reset,Commercial department
1194497,ww reset,Facility management
1196477,ww reset,Commercial department
1196603,ww reset,Production A
1197114,ww reset,Commercial department
1197464,ww reset,Production A
1198578,ww reset,Commercial department
1199349,ww reset,Production QA
1199460,ww reset,Production QA
1200067,ww reset,Commercial department
1200962,ww reset,Commercial department
1202224,ww reset,Facility management
1203767,ww reset,Production A
1206600,ww reset,Facility management
1209245,ww reset,Production QA
1210108,ww reset,Commercial department
1210196,ww reset,Commercial department
1210329,ww reset,Production QA
1210379,ww reset,Facility management
1210777,ww reset,Commercial department
1211807,ww reset,Commercial department
1213377,ww reset,Marketing
1214308,ww reset,Production A
1218514,ww reset,Commercial department
1220759,ww reset,Production A
1221035,ww reset,Production A
1221943,ww reset,Commercial department
1222091,ww reset,Commercial department
1223590,ww reset,Production A
1227711,ww reset,Production A
1227950,ww reset,Commercial department
1228501,ww reset,Commercial department
1232036,ww reset,Production A
1233079,ww reset,Overig
1238074,ww reset,Commercial department
1239898,ww reset,Production QA
1214025,ww resert,Facility management
1253187,ww reference account locked,Commercial department
1205046,Ww pakt niet,Commercial department
1244838,"ww opnieuw ingesteld, komt er niet in",Commercial department
1240627,Ww nieuw account wordt niet gepakt.,Commercial department
1249492,Ww niet goed. username or password is incorrect,Commercial department
1203627,Ww niet goed. komt er niet,Production A
1196232,ww MobilInlog kwijt,Commercial department
1249108,ww kwijt na 2 maanden afwezig,Production A
1217152,Ww kwijt / kan niet inloggen,Production A
1196987,ww kwijt,Production QA
1201262,ww kwijt,Production A
1215441,ww kwijt,Commercial department
1222426,ww kwijt,Overig
1237385,ww kan niet worden gewijzigd,Production A
1192127,"ww is verlopen,",Facility management
1248967,ww is verlopen,Commercial department
1208705,Ww inloggen lukt niet.,Facility management
1247915,Ww Hunite wordt niet gepakt.,Production A
1234424,"Ww gisteren gereset, kan niet inloggen",Production A
1228224,Ww gewijzigd. Komt er niet meer in,Commercial department
1227437,"ww gewijzigd, vergeten",Commercial department
1230415,"WW gewijzigd, kan niet inloggen",Production QA
1210099,ww gewijzigd vorige week,Production A
1218469,Ww gewijzigd maar komt er nu niet meer in.,Production QA
1208776,Ww gewijzigd maar kan nog niet inloggen,Commercial department
1239702,ww gewijzigd maar kan niet inloggen,Commercial department
1249091,"Ww gereset, maar kan nog niet inloggen volgens haar",Production QA
1202579,ww gereset door ICT - maar account nog locked out,Production A
1208939,ww gereset,Production A
1238937,ww gereset,Production A
1233934,ww Exceldoc,Production A
1199799,ww en gebruikersnaam zijn onjuist.,Onbekend
1202074,Ww doet het niet,Production QA
1210791,ww CS niet geldig,Overig
1225523,Ww aangepast. Moet ook nog op de iPad aangepast worden.,Production A
1212066,WSscherm Lamme Bedarm,Production QA
1202346,WSpublic_werkt nog niet,Production A
1238173,WS-public: gebruiker probeert via laptop verbinding te krijgen maar krijgt geen akkoordpagina,Production QA
1225176,WSpublic verbinding,Facility management
1203665,WS-Public kunnen wel op https sites maar niet op http sites,Marketing
1207322,WS-Public komt niet op Wifi netwerk,Commercial department
1208397,WSpublic beschikbaarheid,Production A
1202125,WSpublic,Commercial department
1207237,WSpublic,Commercial department
1207909,WSpublic,Facility management
1208497,WSpublic,Overig
1202386,WSprivate,Marketing
1236911,WS-PRD starten gaat niet.,Commercial department
1239728,"WSPlaza__ investeringsformulier aanvraag, niet mogelijk",Commercial department
1214486,WSPLAZA: probleem met pagina,Production A
1239208,WSplaza werkzaamheden,Production QA
1214749,WSplaza werkt niet.,Production A
1242232,WSplaza werkt niet meer sinds werkzaamheden vorige week,Production A
1214744,WSPlaza werkt niet,Production QA
1214745,WSPlaza werkt niet,Commercial department
1214746,WSPlaza werkt niet,Commercial department
1214751,WSPlaza werkt niet,Commercial department
1214799,WSPlaza werkt niet,Production QA
1215706,WSPlaza werkt niet,Commercial department
1215720,WSPlaza werkt niet,Commercial department
1215724,WSPlaza werkt niet,Production QA
1234623,WSPlaza werkt niet,Marketing
1204773,WSplaza telefoonlijst,Facility management
1192704,WSPlaza P&O versturen van formulier wijzigen Amsterdam foutmelding,Production A
1215704,WSplaza onverwachte fout ->,Marketing
1215669,WSplaza onverwachte fout,Commercial department
1215708,WSplaza onverwachte fout,Facility management
1215667,WSplaza foutmelding,Production QA
1215679,WSplaza foutmelding,Production QA
1215702,WSplaza foutmelding,Facility management
1215712,WSplaza foutmelding,Facility management
1241053,WS-plaza doet het niet,Commercial department
1230719,WSplaza doc printen,Marketing
1215742,WSplaza - Madows,Commercial department
1215715,WSplaza,Production A
1215728,WSplaza,Facility management
1215747,WSplaza,Commercial department
1239166,WSplaza,Overig
1241087,WSplaza,Production QA
1251190,WSpas registreren,Production QA
1240324,WSpas nummer opnieuw registeren,Commercial department
1254970,WSpas login pin,Production A
1193756,WSocnnect lamme bedarm laten vervangen door Winkels,Commercial department
1247085,WSdesktop error,Production A
1203091,WS_Public werkt niet meeer sinds dinsdag,Commercial department
1237148,WS__ sluit zich automatisch af.,Commercial department
1218143,WS: Stege 16-05-62 km6,Production QA
1220921,WS: Printen naar de MF gaat niet. Krijgt not available bij de Ricoh,Marketing
1244697,"WS.nl, Hoe kan ik, als media specialist, inloggen?",Production A
1240921,WS.nl niet beschikbaar,HR advies
1205972,WS.nl foutieve info,Production QA
1200207,WS. Staat in de tienerkamer nog een computer. 30316 (Nu in C15) => C20,Production QA
1251025,WS Zent: Geen beeld op de iPad. Wit blanco scherm,Commercial department
1229975,"WS website, aanvraag account",HR advies
1199177,"WS website kan niet inloggen, toegang",Onbekend
1195273,WS start niet goed op,Production A
1199065,WS scherm is vervangen,Facility management
1236656,WS public Whatsappberichten,Marketing
1207051,WS Public werkt niet met iPod.,Production A
1191173,WS Public werkt niet goed in Amsterdam,Facility management
1202556,WS public nodig voor onderzoek 01202346,Facility management
1199751,WS public hotspot checken svp,Production A
1207323,WS public bereik in de toren,Facility management
1190137,WS public,Commercial department
1204313,WS public,Production A
1205508,WS public,Production QA
1206306,WS public,Commercial department
1254450,WS public,Production A
1248821,WS Private vraagt om met ww in te loggen,Production QA
1188972,WS Private ipv WS Public,Production A
1201150,WS private inlogprobleem,Commercial department
1224966,WS private,Facility management
1231903,WS prd icoon mist op deze pc,HR advies
1193194,WS Plaza: DKSe,Commercial department
1239187,"WS Plaza, doet het niet",Marketing
1239151,WS plaza wijziging telefoonlijst,Commercial department
1239327,WS Plaza werkt niet.,Commercial department
1239161,WS Plaza werkt niet,HR advies
1212188,WS Plaza vraagt telkens naar cookies terwijl andre op dezelfde website blijft.,Commercial department
1239309,WS plaza storing,Commercial department
1230345,WS plaza problemen met *.xls document afdrukken,Commercial department
1239200,WS Plaza niet bereikbaar.,Production A
1215681,WS Plaza foutmelding,Commercial department
1215671,WS Plaza error,Commercial department
1215683,WS Plaza er is een onverwachte fout opgetreden,Commercial department
1214734,WS Plaza doet het niet,Marketing
1239265,WS Plaza doet het niet,Commercial department
1239171,WS plaza,Commercial department
1239322,WS plaza,Production A
1241056,WS pasjes aanpassen,Production A
1245178,WS pasje niet gekoppeld,Overig
1245915,WS pasje is niet bevoegt om in te loggen,Commercial department
1240125,WS pas registreren.,Commercial department
1237202,WS pas registreren,Production A
1246286,WS pas registreren,Commercial department
1253000,WS pas registreren,Commercial department
1254182,WS pas registreren,Production QA
1243977,WS pas registratie.,Commercial department
1243642,WS pas registratie,Production QA
1244777,WS pas registratie,Commercial department
1250946,WS pas registratie,Production A
1255690,WS pas registratie,Commercial department
1234159,WS pas activatie,Production A
1249900,WS pakketkeuze hoe?,Commercial department
1194028,WS Overzee: Vraagje over pop-up berichten,Facility management
1253307,WS Outlook handtekening wordt niet onthouden,Commercial department
1191153,WS Outlook handtekening,Production A
1231173,WS moet  op de beamer worden aangesloten.,Commercial department
1196492,WS MF pas activeren,Production A
1248875,"WS met XP, inloggen CS test account gaatt niet goed",Production A
1239561,WS logo Word,Production A
1199462,WS logo in Word,Production A
1209734,WS launching,Commercial department
1195399,WS laptop en beamer werken niet goed samen,Facility management
1252456,WS keuzepakket komt in beeld,Production QA
1205331,WS kaart wordt niet herkent bij MF printer.,Production A
1229721,"WS is vastgelopen, na reset geen verbinding meer en zit vast in een loop",Production A
1206895,WS is niet te pingen/benaderen,Overig
1190718,Ws is niet te pingen na opnieuwe plaatsen,Production A
1220974,WS is extreem traag en logt niet in.,Production A
1236338,WS is erg traag met opstarten van windows,Production QA
1228005,WS installeren. inloggen bank werkt niet,Marketing
1199110,WS inlogproblemen vanaf website,Onbekend
1240021,WS inloggen met token gaat niet goed,Commercial department
1253678,WS inloggen met pasje,Production QA
1198734,WS icoontje kwijt in word.,Production A
1242802,WS icoon in nieuwe KA,Overig
1240247,WS huisstijl icoon,HR advies
1225962,WS heeft last van vastlopers,Production A
1224338,WS heeft geen netwerk,Production A
1251062,WS heeft geen Internet Explorer,Commercial department
1230124,WS heeft een wit blControlekamer in het midden en geen taakbalk,Production QA
1200125,WS Handtekening XENAPPA7-03,Production A
1255203,WS handtekening wordt niet blijvend aangepast.,Commercial department
1203423,WS Handtekening weg,Marketing
1205333,WS Handtekening weg,Production A
1198186,WS handtekening weer kwijt.,Production A
1250707,WS handtekening terugzetten,Marketing
1194945,WS handtekening kwijt naar stroomstoring,Production A
1197680,WS handtekening,Production A
1204777,WS handtekening,Production A
1213702,WS handtekening,Facility management
1249525,"WS geeft een uitgebreid bureaublad op de beamer weer, moet mirrored zijn",Commercial department
1253489,WS essom login registratie,Marketing
1234687,WS en TC starten niet goed op.,Commercial department
1232061,WS desktop werkt niet,Production A
1239907,WS Desktop sessie vastgelopen,Commercial department
1247070,WS Desktop error. Unable to launch your application,Commercial department
1225058,WS Desktop error. Protocol driver error,Commercial department
1255080,WS Desktop error. Cannot connect,Production A
1247683,WS Desktop error cannot connect to the citrix XENAPP server protocol driver error i/o,Commercial department
1249875,WS Desktop dtatr niet juist door,Commercial department
1242229,WS Connectkm81 bd 3 scherm vervangen,Commercial department
1252579,WS Connect_D1 km 6 bd1. Scherm staat al sinds gisterenavond op laden,Production QA
1241790,WS Connect__naar buiten bellen,Commercial department
1251661,WS Connect__km6 bd3 Dhr. HoBeek. Scherm doet niets. Kan ook niet aan. FA WINKELS,Production QA
1249254,WS Connect__ KC van  den Beek Deborah Bos  km 12 b1,Production QA
1237223,WS Connect_ Wil opzeggen,Commercial department
1254868,WS Connect_,Onbekend
1235827,WS Connect: Zij en haar buurvrouw staan verkeerd in CareServant.,Production QA
1238643,WS Connect: Wilmink- Tijhuis 20-11-1963. Kan rek nr. niet invoeren.,Production QA
1224099,WS Connect: Wil zich afmelden,Facility management
1252700,WS Connect: Wil naar buiten bellen,Commercial department
1237248,WS Connect: Wijnholds km 53 b1. Scherm doet raar.,Commercial department
